교통사고 당사자 번호,이름,성별,생년월일,면허유무,안전벨트 유무,음주 여부,부상/사망 여부,교통사고 종류,교통사고 날짜,사고직전 속도,사고 발생지,대전시 사고 관리 번호
1,황민서,여,1982.8.11,유,유,무,사망,과속,2022.6.2,117,대덕구 법동,2022F79
2,김하은,남,2001.2.13,유,유,무,사망,과속,2022.4.19,127,동구 삼성동,2022D49
3,정수정,남,1968.4.8,유,유,무,부상,신호위반,2022.11.23,90,동구 신인동,2022K94
4,박서현,남,1994.8.12,유,유,무,부상,과속,2022.2.16,83,유성구 노은동,2022B38
5,조서현,여,1968.12.5,유,유,무,부상,음주운전,2022.1.22,96,중구 대사동,2022A45
6,조윤서,여,1972.8.21,유,유,무,부상,신호위반,2022.1.16,113,대덕구 송촌동,2022A42
7,노지호,여,1978.12.25,유,유,무,사망,과속,2022.2.22,127,중구 대사동,2022B48
8,유주원,남,1981.11.16,유,유,무,부상,과속,2022.3.19,84,서구 둔상동,2022C23
9,정주원,여,1992.11.20,유,유,무,사망,과속,2022.11.21,123,대덕구 오정동,2022K6
10,한수정,남,1993.11.22,유,유,무,부상,신호위반,2022.10.17,114,중구 대흥동,2022J91
11,최서준,여,1965.2.17,유,유,무,사망,과속,2022.9.22,123,유성구 노은동,2022I99
12,장민서,남,1974.5.15,유,유,무,부상,음주운전,2022.12.16,84,대덕구 회덕동,2022L21
13,이민준,여,1972.4.20,유,유,무,부상,음주운전,2022.3.8,107,서구 도마동,2022C49
14,정주호,남,1999.7.16,유,유,무,부상,신호위반,2022.2.29,109,유성구 진잠동,2022B10
15,정채은,여,1962.8.21,유,유,무,부상,중앙선 침범,2022.2.3,108,서구 갈마동,2022B58
16,유서윤,여,2000.7.22,유,유,무,부상,중앙선 침범,2022.2.31,107,유성구 신성동,2022B21
17,조예준,여,1977.7.12,유,유,무,부상,신호위반,2022.6.31,111,대덕구 회덕동,2022F41
18,유지민,남,1969.6.15,유,유,유,부상,음주운전,2022.8.14,83,동구 용운동,2022H15
19,한채원,여,1997.5.19,유,유,무,부상,음주운전,2022.1.8,84,서구 둔상동,2022A3
20,장하은,여,1976.12.21,유,유,무,부상,중앙선 침범,2022.4.20,81,서구 월평동,2022D55
21,최윤서,여,1990.8.18,유,유,무,부상,음주운전,2022.2.9,83,동구 삼성동,2022B63
22,이예준,여,1998.9.31,유,유,무,부상,음주운전,2022.9.13,102,중구 오류동,2022I77
23,장지우,남,1999.11.7,유,유,무,부상,음주운전,2022.5.26,98,중구 은행선화동,2022Z33
24,한지후,여,1989.11.11,유,유,무,부상,중앙선 침범,2022.9.4,119,유성구 관평동,2022I89
25,정민서,여,1972.10.10,유,유,무,사망,과속,2022.8.24,124,동구 용운동,2022H53
26,한지민,여,2002.4.28,유,유,무,부상,과속,2022.5.30,82,동구 삼성동,2022Z17
27,황선우,여,1979.2.27,유,유,무,부상,과속,2022.4.25,101,중구 목동,2022D30
28,정주호,여,1995.4.29,유,유,무,사망,과속,2022.8.4,124,중구 오류동,2022H58
29,정예준,여,1989.3.8,유,유,무,부상,과속,2022.12.12,119,동구 효동,2022L83
30,최민준,여,1970.1.29,유,유,무,부상,중앙선 침범,2022.9.9,98,서구 만년동,2022I92
31,장선우,여,1981.1.16,유,유,유,부상,음주운전,2022.4.16,84,대덕구 오정동,2022D69
32,조준서,여,1981.7.15,유,유,유,부상,음주운전,2022.1.31,104,유성구 관평동,2022A51
33,육준서,여,1972.2.2,유,유,무,부상,중앙선 침범,2022.8.24,92,유성구 신성동,2022H42
34,성선우,여,1969.12.12,유,유,무,사망,과속,2022.5.30,119,동구 삼성동,2022Z17
35,박민준,여,1974.4.8,유,유,무,사망,중앙선 침범,2022.3.18,96,동구 신인동,2022C80
36,장지안,남,1979.1.11,유,유,무,사망,음주운전,2022.8.11,119,서구 둔상동,2022H7
37,김지우,여,1981.12.20,유,유,무,부상,음주운전,2022.7.21,99,서구 만년동,2022G99
38,장지우,남,1986.7.28,유,유,무,부상,음주운전,2022.11.25,94,유성구 노은동,2022K11
39,정선우,남,1963.2.5,유,유,무,부상,중앙선 침범,2022.12.31,112,유성구 전민동,2022L47
40,노민준,남,1972.10.9,유,유,무,부상,음주운전,2022.9.30,98,중구 오류동,2022I31
41,장채은,여,2002.10.16,유,유,무,사망,과속,2022.10.28,121,중구 대흥동,2022J53
42,장예준,여,1982.4.10,유,유,무,사망,과속,2022.9.12,121,동구 삼성동,2022I26
43,최서준,남,1963.3.7,유,유,무,부상,음주운전,2022.6.14,84,중구 대사동,2022F28
44,성하윤,여,1974.4.11,유,유,무,사망,과속,2022.7.12,126,대덕구 회덕동,2022G45
45,육준우,여,1971.11.2,유,유,무,부상,중앙선 침범,2022.1.21,100,서구 둔상동,2022A91
46,김시우,여,2002.7.13,유,유,무,부상,중앙선 침범,2022.10.16,98,유성구 전민동,2022J92
47,조연우,남,1993.12.23,유,유,무,부상,신호위반,2022.7.19,84,유성구 관평동,2022G47
48,정민준,남,1981.8.3,유,유,무,사망,과속,2022.10.19,128,대덕구 회덕동,2022J26
49,정하준,여,1999.4.13,유,유,무,부상,과속,2022.2.8,104,중구 오류동,2022B95
50,박지유,여,2000.10.1,유,유,무,부상,과속,2022.3.14,107,대덕구 석봉동,2022C12
51,한도윤,남,1998.7.19,유,유,무,부상,중앙선 침범,2022.7.29,107,유성구 전민동,2022G43
52,정서현,남,1997.3.28,유,유,유,부상,음주운전,2022.9.2,106,중구 은행선화동,2022I74
53,성도윤,남,1986.3.11,유,유,무,사망,과속,2022.4.23,123,서구 만년동,2022D10
54,김연우,여,1989.1.31,유,유,무,부상,음주운전,2022.1.18,89,동구 삼성동,2022A72
55,박지원,남,1990.5.25,유,유,무,부상,음주운전,2022.2.18,95,대덕구 오정동,2022B67
56,한예준,여,1992.6.24,유,유,무,사망,과속,2022.7.12,120,서구 만년동,2022G20
57,황하준,여,1982.8.9,유,유,무,부상,과속,2022.1.25,83,유성구 관평동,2022A60
58,한지우,남,1988.10.13,유,유,무,부상,과속,2022.1.30,91,중구 대흥동,2022A41
59,박연우,여,1985.5.21,유,유,무,부상,중앙선 침범,2022.10.18,96,대덕구 회덕동,2022J37
60,김준우,남,1964.8.18,유,유,무,부상,과속,2022.6.4,95,유성구 진잠동,2022F49
61,성민서,남,2000.2.23,유,유,무,부상,과속,2022.11.6,92,중구 대흥동,2022K82
62,김서연,여,1986.11.24,유,유,무,부상,중앙선 침범,2022.1.11,94,서구 월평동,2022A89
63,곽예준,여,1968.4.21,유,유,무,사망,신호위반,2022.6.13,103,중구 대사동,2022F20
64,곽하은,남,1991.7.10,유,유,유,부상,음주운전,2022.5.12,80,서구 도마동,2022Z86
65,황수정,여,1997.11.26,유,유,무,부상,중앙선 침범,2022.12.30,117,대덕구 회덕동,2022L56
66,한채은,남,1968.3.19,유,유,무,부상,음주운전,2022.6.26,84,대덕구 석봉동,2022F56
67,장지후,여,1981.2.23,유,유,무,부상,음주운전,2022.12.4,110,동구 자양동,2022L91
68,육도윤,남,1996.11.31,유,유,무,부상,신호위반,2022.3.21,80,대덕구 법동,2022C69
69,최주호,남,1967.5.24,유,유,무,부상,신호위반,2022.8.22,90,서구 도마동,2022H37
70,유지우,남,1981.2.11,유,유,무,부상,과속,2022.4.23,118,서구 만년동,2022D1
71,유서연,여,1961.5.1,유,유,무,부상,과속,2022.4.19,97,중구 목동,2022D67
72,조민준,남,1994.2.2,유,유,무,부상,신호위반,2022.10.19,80,유성구 전민동,2022J74
73,노도윤,여,1992.11.28,유,유,유,부상,음주운전,2022.8.13,118,중구 목동,2022H99
74,한채원,여,1994.6.18,유,유,무,부상,음주운전,2022.9.30,117,중구 오류동,2022I3
75,최지후,남,1973.12.3,유,유,유,부상,음주운전,2022.10.23,80,동구 자양동,2022J15
76,노윤서,남,1985.5.14,유,유,유,부상,음주운전,2022.9.16,98,대덕구 법동,2022I66
77,유하은,여,1987.3.9,유,유,무,부상,중앙선 침범,2022.11.24,112,중구 오류동,2022K77
78,조서현,여,1968.12.5,유,유,무,부상,음주운전,2022.7.8,92,유성구 관평동,2022G70
79,김민준,남,1980.11.1,유,유,무,사망,과속,2022.1.2,125,동구 신인동,2022A30
80,장민서,남,1979.1.3,유,유,무,사망,과속,2022.9.18,120,서구 도마동,2022I19
81,곽시우,여,1987.7.31,유,유,무,부상,음주운전,2022.2.15,117,유성구 관평동,2022B66
82,육윤서,남,1964.11.15,유,유,무,사망,과속,2022.1.22,121,동구 용운동,2022A68
83,최주호,남,1968.5.15,유,유,무,부상,음주운전,2022.2.18,118,동구 삼성동,2022B35
84,최시우,여,1971.7.21,유,유,무,부상,과속,2022.1.30,93,서구 둔상동,2022A97
85,박하준,남,1991.12.17,유,유,무,사망,과속,2022.7.15,129,유성구 노은동,2022G54
86,성채원,여,1966.6.17,유,유,무,부상,중앙선 침범,2022.6.27,86,서구 월평동,2022F77
87,육민준,남,1963.1.12,유,유,무,사망,신호위반,2022.7.17,106,유성구 진잠동,2022G19
88,한도윤,여,1962.7.15,유,유,무,사망,과속,2022.4.30,103,대덕구 오정동,2022D32
89,최지안,여,1978.1.25,유,유,무,부상,중앙선 침범,2022.4.12,103,동구 자양동,2022D63
90,김선우,여,1983.10.15,유,유,무,부상,신호위반,2022.10.24,117,유성구 전민동,2022J17
91,곽지안,남,1992.4.12,유,유,무,부상,신호위반,2022.3.18,85,대덕구 석봉동,2022C14
92,곽하준,남,1975.3.25,유,유,무,부상,과속,2022.5.27,87,동구 삼성동,2022Z51
93,조예준,여,1962.6.24,유,유,무,사망,과속,2022.12.19,121,대덕구 오정동,2022L40
