교통사고 당사자 번호,이름,성별,생년월일,면허유무,안전벨트 유무,음주 여부,부상/사망 여부,교통사고 종류,교통사고 날짜,사고직전 속도,사고 발생지,대전시 사고 관리 번호
1,성수정,여,1994.4.20,유,유,무,부상,신호위반,2022.10.29,104,중구 대흥동,2022J68
2,황지후,남,1965.8.2,유,유,무,부상,중앙선 침범,2022.2.10,105,대덕구 석봉동,2022B61
3,정지호,남,1989.3.7,유,유,유,부상,음주운전,2022.11.20,100,서구 월평동,2022K4
4,유하은,남,1999.11.24,유,유,무,부상,신호위반,2022.6.28,116,중구 대사동,2022F97
5,곽지우,남,1987.1.29,유,유,무,부상,과속,2022.8.29,118,대덕구 석봉동,2022H41
6,황채원,여,1972.10.17,유,유,무,부상,중앙선 침범,2022.4.20,118,대덕구 석봉동,2022D96
7,황서진,여,1962.9.9,유,유,유,사망,음주운전,2022.8.4,132,서구 만년동,2022H42
8,이윤서,남,1970.5.30,유,유,유,부상,음주운전,2022.6.9,100,유성구 신성동,2022F70
9,황하윤,남,1966.12.30,유,유,무,부상,과속,2022.9.22,126,유성구 신성동,2022I5
10,최지원,남,1987.9.11,유,유,무,부상,신호위반,2022.5.3,91,서구 만년동,2022Z69
11,성지원,남,1961.7.1,유,유,무,부상,중앙선 침범,2022.8.6,122,대덕구 법동,2022H39
12,조예준,여,1988.7.13,유,유,무,부상,과속,2022.9.5,116,서구 만년동,2022I53
13,한지유,남,1988.8.22,유,유,무,부상,중앙선 침범,2022.11.27,94,동구 삼성동,2022K46
14,한채원,남,1999.2.17,유,유,유,부상,음주운전,2022.6.12,126,유성구 노은동,2022F98
15,황연우,남,1994.4.11,유,유,무,부상,신호위반,2022.6.24,103,대덕구 송촌동,2022F33
16,최하은,남,1976.4.19,유,유,유,부상,음주운전,2022.6.15,122,대덕구 석봉동,2022F32
17,이지우,남,1992.1.15,유,유,유,사망,음주운전,2022.12.14,132,대덕구 석봉동,2022L74
18,곽민서,남,1970.7.12,유,유,무,부상,중앙선 침범,2022.10.10,110,서구 도마동,2022J89
19,정민서,여,1972.8.29,유,유,무,사망,과속,2022.6.29,137,동구 용운동,2022F20
20,노시우,여,1992.5.26,유,유,무,사망,중앙선 침범,2022.5.9,131,대덕구 송촌동,2022Z15
21,노지민,남,1988.7.28,유,유,무,부상,중앙선 침범,2022.2.20,100,서구 갈마동,2022B2
22,곽지호,여,1968.11.13,유,유,유,사망,음주운전,2022.11.26,133,대덕구 송촌동,2022K58
23,정주원,남,1995.11.20,유,유,무,사망,신호위반,2022.8.29,138,유성구 전민동,2022H33
