교통사고 당사자 번호,이름,성별,생년월일,면허유무,안전벨트 유무,음주 여부,부상/사망 여부,교통사고 종류,교통사고 날짜,사고직전 속도,사고 발생지,대전시 사고 관리 번호
925,한채원,남,1982.9.4,유,유,무,사망,신호위반,2022.1.3,132,유성구 전민동,2022A11
327,성지안,여,1961.6.20,유,유,유,부상,음주운전,2022.1.14,112,대덕구 회덕동,2022A12
742,박민서,여,1977.8.3,유,유,무,사망,과속,2022.1.29,102,동구 효동,2022A13
98,최지안,남,1986.10.6,유,유,무,부상,과속,2022.1.18,110,대덕구 오정동,2022A15
605,육지민,여,1991.5.26,유,유,무,부상,과속,2022.1.18,119,대덕구 오정동,2022A15
856,박도윤,여,1985.10.17,유,유,무,부상,중앙선 침범,2022.1.5,101,유성구 관평동,2022A16
292,정선우,남,1970.7.12,유,유,유,부상,음주운전,2022.1.24,127,동구 효동,2022A17
335,황서진,여,1985.10.1,유,유,무,부상,과속,2022.1.2,122,유성구 신성동,2022A19
425,정서준,여,1971.10.31,유,유,유,사망,과속,2022.1.2,137,유성구 신성동,2022A19
627,김지원,여,1998.12.18,유,유,무,부상,과속,2022.1.2,106,유성구 신성동,2022A19
13,육선우,여,1971.4.11,유,유,유,사망,음주운전,2022.1.27,96,서구 만년동,2022A23
172,김수정,남,1971.8.3,유,유,유,부상,음주운전,2022.1.7,121,중구 은행선화동,2022A27
760,박지호,남,1974.8.18,유,유,무,부상,음주운전,2022.1.7,113,중구 은행선화동,2022A27
144,박수정,남,1968.12.13,유,유,무,사망,과속,2022.1.1,93,대덕구 회덕동,2022A28
819,황시우,여,1999.4.23,유,유,무,부상,과속,2022.1.1,105,대덕구 회덕동,2022A28
985,장서현,여,1997.2.26,유,유,무,부상,신호위반,2022.1.16,123,동구 자양동,2022A29
264,황하준,여,1968.4.1,유,유,무,사망,음주운전,2022.1.6,136,유성구 관평동,2022A3
383,최지후,남,1977.12.29,유,유,유,사망,음주운전,2022.1.9,131,동구 삼성동,2022A30
244,유윤서,남,1978.11.11,유,유,유,부상,음주운전,2022.1.6,108,유성구 관평동,2022A31
711,최시우,남,1979.11.3,유,유,무,사망,신호위반,2022.1.27,91,중구 오류동,2022A35
984,곽민준,남,1979.6.4,유,유,무,부상,신호위반,2022.1.7,91,대덕구 석봉동,2022A38
266,노채은,남,1970.9.15,유,유,무,부상,과속,2022.1.27,97,유성구 전민동,2022A39
443,최지호,남,1985.1.9,유,유,무,부상,과속,2022.1.27,120,유성구 전민동,2022A39
53,한지민,여,1963.5.16,유,유,유,부상,음주운전,2022.1.7,98,중구 오류동,2022A4
65,육준우,남,2001.11.25,유,유,무,부상,음주운전,2022.1.7,91,중구 오류동,2022A4
449,황채원,여,2000.7.16,유,유,무,사망,신호위반,2022.1.19,130,서구 둔상동,2022A40
992,조채원,여,2000.2.11,유,유,무,부상,신호위반,2022.1.19,125,서구 둔상동,2022A40
